符合條件商品
資料日期：2023年  8月  9日
策略,	基金財務輸出CSV
序號,	代碼,	商品,	成交,	漲幅%,	總量,	CLOSE,	C_MA20,	VOL,	VOL_MA10,	ROE4,	毛利率,	營益率,	利息倍數,	股本,	市值
執行時間：2023-08-09 19:11 符合檔數(1770)
45	,1319.TW,東陽,60,-0.17,5814,60,56.11,5814,11244,8,26.6,12.9,29,59,355
46	,1321.TW,大洋,34.7,0,23,34.7,34.8,23,132.1,9,12.2,5,1,23,79
47	,1323.TW,永裕,31.95,-0.16,23,31.95,31.82,23,63.4,6,18.9,6,16,9,29
48	,1324.TW,地球,11.65,0.87,33,11.65,11.7,33,42.1,2.8,20.1,3.7,201,8,9
49	,1325.TW,恆大,22.65,0,114,22.65,22.38,114,144.3,-0.4,5.1,-5.6,1466,9,19
50	,1326.TW,台化,66.2,1.22,1417,66.2,65.1,1417,3010.2,1.8,0.5,-4.2,6,586,3880
51	,1336.TW,台翰,23.1,-1.07,165,23.1,23.98,165,118.2,3.6,15,5.5,20,8,18
52	,1337.TW,再生-KY,7.67,-1.67,644,7.67,8.11,644,681.8,-7.4,-31.3,-66,0,27,21
53	,1338.TW,廣華-KY,38.25,-0.26,75,38.25,39.38,75,129.7,-2.7,21.8,0.8,4,8,32
54	,1339.TW,昭輝,46.1,0.66,252,46.1,44.98,252,110.7,7.1,28.5,17.2,21,7,34
55	,1340.TW,勝悅-KY,12.6,0.8,132,12.6,12.75,132,186.7,-7.4,-37.9,-82.1,-419,15,19
56	,1341.TW,富林-KY,67.5,0,3,67.5,67.81,3,12.7,23.7,23.8,15.2,20,5,35
57	,1342.TW,八貫,111.5,-0.89,259,111.5,115.88,259,801.9,22,28.3,20.7,97,7,79
58	,1402.TW,遠東新,29.5,-0.34,5572,29.5,29.85,5572,5780,4.4,18.2,4.8,6,535,1579
59	,1409.TW,新纖,17.05,-0.58,1176,17.05,17.08,1176,1181,1.1,16.3,5.6,11,162,276
