符合條件商品
資料日期：2023年  8月  9日
策略,	基金財務輸出CSV
序號,	代碼,	商品,	成交,	漲幅%,	總量,	CLOSE,	C_MA20,	VOL,	VOL_MA10,	ROE4,	毛利率,	營益率,	利息倍數,	股本,	市值
執行時間：2023-08-09 19:11 符合檔數(1770)
229	,2007.TW,燁興,9.99,-0.1,272,9.99,9.94,272,765.7,-8.6,-1.8,-5,-4,53,53
230	,2008.TW,高興昌,19.75,-0.25,8,19.75,19.52,8,62,8.3,16.9,9.2,3,19,38
231	,2009.TW,第一銅,31,-1.74,2440,31,31.81,2440,5828.7,-4.4,-7.2,-9.5,12,36,111
232	,2010.TW,春源,17.45,-1.13,705,17.45,17.61,705,1473,7.4,8.8,4.5,9,65,113
233	,2012.TW,春雨,25.35,0.2,21,25.35,25.59,21,57.6,6.9,16.8,6.5,8,30,77
234	,2013.TW,中鋼構,57,0.71,137,57,55.65,137,123.8,9.2,5.1,3.1,12,20,114
235	,2014.TW,中鴻,25.35,-0.39,11422,25.35,24.4,11422,16599.3,-5,-1.2,-2.6,-8,144,364
236	,2015.TW,豐興,68.6,-1.15,170,68.6,69.14,170,182.6,12,9.7,7.3,187,58,399
237	,2017.TW,官田鋼,17.1,0.59,1939,17.1,16.99,1939,1145.4,-1.9,5,-8.5,5,36,62
238	,2020.TW,美亞,27,-1.1,660,27,26.22,660,1156.1,21.1,13.2,9,7,22,60
239	,2022.TW,聚亨,8.77,-2.12,1747,8.77,9.22,1747,1104.8,8,14.1,3,1,48,42
240	,2023.TW,燁輝,15.25,-2.24,2454,15.25,15.03,2454,3033.1,-0.4,8.9,2.2,2,198,301
241	,2024.TW,志聯,17.45,0,12,17.45,17.29,12,34.4,-4.6,3.4,-3.4,5,10,17
242	,2025.TW,千興,5.44,-0.37,549,5.44,5.36,549,337.3,-4.2,-6.1,-11.7,111,28,15
243	,2027.TW,大成鋼,40.05,-0.87,8398,40.05,39.05,8398,18340.2,12.9,21.3,11.9,17,243,975
244	,2028.TW,威致,24.65,-0.6,261,24.65,24.06,261,557.5,16,8.7,7.2,21,33,80
245	,2029.TW,盛餘,25,0,169,25,24.52,169,300.1,0,0,0,147,32,80
246	,2030.TW,彰源,21,-1.18,848,21,20.66,848,983.2,11.3,11.9,6.7,9,28,59
247	,2031.TW,新光鋼,51,-1.73,4115,51,47.22,4115,4445.5,17.2,5.7,2.3,4,32,164
248	,2032.TW,新鋼,17.65,-0.84,130,17.65,17.35,130,269,-1.8,0.2,-2.7,92,13,23
249	,2033.TW,佳大,15.05,-0.33,61,15.05,14.66,61,157.4,-0.3,10.2,-0.2,-3,8,12
250	,2034.TW,允強,27.5,-0.36,359,27.5,27.58,359,615.9,8.4,10.2,5,9,45,123
251	,2035.TW,唐榮,31.1,3.49,78,31.1,30.08,78,12.4,0.7,2,-0.3,-1,35,109
252	,2038.TW,海光,19.6,-1.01,219,19.6,19.42,219,679.3,4.3,2.2,-0,5,18,36
253	,2049.TW,上銀,204.5,-0.49,1166,204.5,214.2,1166,1545.9,4.7,30.4,9.9,32,35,724
254	,2059.TW,川湖,857,-3.49,2690,857,882.1,2690,2931,18.4,59.1,46.2,501,10,817
255	,2061.TW,風青,18.35,0,23,18.35,18.59,23,231.5,4.4,7.5,-0.1,-4,5,9
256	,2062.TW,橋椿,22.25,-0.67,68,22.25,22.26,68,125.5,5.7,12,4.8,15,20,44
257	,2063.TW,世鎧,50.8,-0.39,22,50.8,50.53,22,45.1,18.2,31.1,20.3,25,5,25
258	,2064.TW,晉椿,16.4,1.55,51,16.4,16.92,51,69.2,0,0,0,5,7,11
259	,2065.TW,世豐,57.4,-0.17,45,57.4,58.22,45,83.3,14.5,18.4,10.1,45,5,30
260	,2066.TW,世德,94,0,194,94,100.35,194,276.6,18.5,32.4,14.8,17,4,39
261	,2067.TW,嘉鋼,14.05,-0.35,27,14.05,13.78,27,47.9,-4,12,-2.6,-2,5,6
262	,2069.TW,運錩,18,-0.83,170,18,18.1,170,141.7,-3.7,3.9,0,3,17,30
263	,2070.TW,精湛,30.85,0,2,30.85,31.54,2,25.1,3.4,45.6,6.1,32,4,11
264	,2101.TW,南港,38.15,-0.78,182,38.15,38.09,182,551.1,-2.2,11.8,-3.1,-7,83,318
265	,2102.TW,泰豐,17.4,-1.42,98,17.4,17.55,98,190.4,-52.7,-21.3,-173.2,-16,47,82
266	,2103.TW,台橡,24.1,-1.03,1220,24.1,24.98,1220,1177,2.3,9,1.2,18,83,199
267	,2104.TW,國際中橡,20.7,-0.96,1476,20.7,20.51,1476,4218.9,0.2,13.3,6.1,4,98,204
268	,2105.TW,正新,37.35,-0.93,3141,37.35,38.38,3141,3824.9,7.6,21.4,8,10,324,1211
269	,2106.TW,建大,29.45,-0.84,428,29.45,29.49,428,471.7,-8,12.8,-2.6,3,95,281
270	,2107.TW,厚生,21.4,0,268,21.4,21.13,268,362.8,8.4,29.4,16.5,95,34,72
271	,2108.TW,南帝,36.45,-0.41,169,36.45,36.22,169,338.3,8.2,24.2,9,825,49,179
272	,2109.TW,華豐,14.3,1.42,381,14.3,14.35,381,154.1,6.8,20.8,10.2,12,28,40
273	,2114.TW,鑫永銓,101.5,0,21,101.5,102.53,21,17.9,16.6,42.9,35.1,2048,8,79
274	,2115.TW,六暉-KY,30.95,-0.16,11,30.95,31.21,11,50.5,15.5,21.1,7.1,14,10,31
275	,2201.TW,裕隆,79.2,-0.63,10548,79.2,80.42,10548,7958.7,11.8,36.4,12.4,4,107,847
276	,2204.TW,中華,94.8,2.16,4012,94.8,88.61,4012,2789.8,18,16.8,7.5,-888,55,525
277	,2206.TW,三陽工業,82.3,-1.32,20084,82.3,78.45,20084,14522.7,27.5,20.7,10.6,16,80,656
278	,2207.TW,和泰車,716,0.56,98,716,747.99,98,228.2,33,20.3,13.8,-4,56,3989
279	,2208.TW,台船,23.55,0,1782,23.55,23.43,1782,1990.2,-76.4,-25.3,-28.1,-21,93,219
280	,2211.TW,長榮鋼,66.8,-2.48,2359,66.8,60.4,2359,3282,10,33.7,29.3,418,42,279
281	,2221.TW,大甲,36.4,-1.22,162,36.4,37.72,162,128.8,9.3,20.8,11,77,4,15
282	,2227.TW,裕日車,197,0.77,11,197,196.6,11,17.6,7.9,12,2,314,30,591
283	,2228.TW,劍麟,89.7,-1.75,471,89.7,96.36,471,531.6,9,23.7,10.2,73,8,68
284	,2230.TW,泰茂,96,0.63,681,96,105.3,681,570.4,8.1,28.6,9.8,22,4,41
285	,2231.TW,為升,150.5,-0.99,387,150.5,155.35,387,379.3,10.2,41.4,16.9,16,13,202
286	,2233.TW,宇隆,104,-0.48,122,104,106.08,122,224.3,10.8,27.9,12.7,105,6,63
287	,2235.TW,謚源,42.25,-0.35,1,42.25,42.18,1,5.7,2.2,26.3,10.2,33,4,15
288	,2236.TW,百達-KY,62.9,-0.63,360,62.9,64.34,360,401.1,10.9,29.6,10.3,12,5,29
289	,2239.TW,英利-KY,66.2,-0.45,15,66.2,68.64,15,120.7,-1.4,11.7,0.9,3,12,80
290	,2241.TW,艾姆勒,42.2,6.16,842,42.2,39.05,842,877.8,-19.2,-7.6,-35.7,-12,9,38
291	,2243.TW,宏旭-KY,15.55,-2.2,109,15.55,16.29,109,149.2,-23.4,2.6,-9,1,7,11
292	,2247.TW,汎德永業,316.5,-0.47,154,316.5,319.07,154,189.2,13.7,11.3,4.1,50,8,255
293	,2250.TW,IKKA-KY,71,-0.28,29,71,70.92,29,32.8,-0.4,13.7,-0.9,23,3,21
294	,2301.TW,光寶科,141,-1.4,47202,141,143.43,47202,106280.6,21.2,23.3,11.6,25,237,3340
295	,2302.TW,麗正,17.65,0,254,17.65,18.14,254,580.8,2.4,32.3,3.7,181,17,29
296	,2303.TW,聯電,45.6,0.11,26156,45.6,46.63,26156,40759.1,18.6,36,27.8,58,1250,5701
297	,2305.TW,全友,20.05,-0.5,301,20.05,21.33,301,295.2,-1.1,27.6,-29.9,8,21,41
298	,2308.TW,台達電,357.5,-0.83,4241,357.5,363.05,4241,11276.7,16.9,29.2,10.2,82,260,9286
299	,2312.TW,金寶,16.85,0.6,11467,16.85,16.61,11467,39955.7,3.9,6.9,2,2,150,252
300	,2313.TW,華通,46,0.22,4953,46,45.68,4953,9765,3.8,14.3,6.2,24,119,548
301	,2314.TW,台揚,43,-0.69,383,43,44.51,383,675.7,-12.3,17.2,-3.6,-9,24,102
302	,2316.TW,楠梓電,39.1,-9.91,7996,39.1,40.38,7996,4853.8,-1.8,-9.5,-21.1,18,18,71
303	,2317.TW,鴻海,110.5,0,20469,110.5,109.53,20469,31022.3,3.4,6,2.8,6,1386,15319
304	,2321.TW,東訊,17.3,-1.42,3,17.3,18.06,3,10,-12,27.9,-4.5,3,1,2
305	,2323.TW,中環,12.95,1.57,19498,12.95,13.56,19498,18403.5,15.8,20.2,-7.3,-14,109,141
306	,2324.TW,仁寶,31.55,0.48,19725,31.55,31.13,19725,28674.4,5.4,4.5,1.1,4,441,1390
307	,2327.TW,國巨,465.5,0.43,1259,465.5,473.05,1259,2167.5,13.6,33,18.9,26,42,1965
308	,2328.TW,廣宇,40.85,-0.97,2123,40.85,42.15,2123,3845,9,13.4,7.3,51,52,212
309	,2329.TW,華泰,48.1,-4.94,19513,48.1,39,19513,66315.3,20.5,18.5,10.5,69,56,267
310	,2330.TW,台積電,554,0.36,15088,554,569.3,15088,21017,27.4,56.3,45.5,98,2593,143664
311	,2331.TW,精英,28.45,-1.56,1718,28.45,29.71,1718,3664.6,0.2,11.7,-1,33,56,159
312	,2332.TW,友訊,19.9,-0.25,1372,19.9,20.66,1372,3443.2,7.3,25.3,3.7,27,60,119
313	,2337.TW,旺宏,30.9,-0.16,5078,30.9,31.41,5078,8811.4,0.6,28.3,-2.2,50,186,573
314	,2338.TW,光罩,71.3,-0.14,1125,71.3,75.52,1125,3051.9,13.1,27.3,12.2,5,26,183
315	,2340.TW,台亞,51.3,0.2,4255,51.3,52.7,4255,10875,5.4,23.7,5.2,40,44,194
316	,2342.TW,茂矽,38.2,-1.55,687,38.2,39.4,687,583.5,-7.3,4.6,-9.6,68,16,60
317	,2344.TW,華邦電,27.05,-0.18,30336,27.05,27.95,30336,45947.9,2.4,31.3,-1.6,191,398,1077
318	,2345.TW,智邦,380,-2.06,2384,380,383.72,2384,3903.5,37.9,21.9,13.1,152,56,2129
319	,2347.TW,聯強,59.1,0.85,1758,59.1,58.7,1758,2712.3,10.6,4.4,2.1,15,167,986
320	,2348.TW,海悅,66.1,0.15,27,66.1,65.44,27,58.5,1.2,28.5,5,10,12,77
321	,2349.TW,錸德,8.9,0.11,597,8.9,9.24,597,1378.2,-2,18.1,-3.6,1,69,62
322	,2351.TW,順德,101.5,-0.49,1199,101.5,107.64,1199,1289.3,13,20.4,11.5,18,18,185
323	,2352.TW,佳世達,45.15,-1.53,17212,45.15,50.68,17212,25449.9,9,16.3,2.8,15,197,888
324	,2353.TW,宏碁,36.9,0.54,33788,36.9,35.8,33788,29033.4,8.9,10.7,1.8,42,305,1125
325	,2354.TW,鴻準,56.9,0.53,3550,56.9,56.01,3550,4961.9,2.9,5.7,1.4,32,141,805
326	,2355.TW,敬鵬,33.6,-0.3,1587,33.6,34.05,1587,2723.5,1,8.8,1.1,27,40,134
327	,2356.TW,英業達,59.5,-2.3,78334,59.5,62.65,78334,69537.1,6.1,4.9,1.1,3,359,2135
328	,2357.TW,華碩,379,0.8,19003,379,342.98,19003,13746.1,-2.2,9.6,-2.8,29,74,2815
329	,2358.TW,廷鑫,9.65,-1.63,570,9.65,9.88,570,731.6,-20.9,-5.1,-34.8,1,14,13
330	,2359.TW,所羅門,37.1,-1.33,2163,37.1,38.76,2163,11272.6,3.3,21.6,0.1,40,17,64
331	,2360.TW,致茂,272.5,-0.91,2333,272.5,273.02,2333,3423.6,18.6,60.8,27.1,118,43,1159
332	,2362.TW,藍天,32.95,1.23,366,32.95,34.04,366,927.6,3.5,20,7.1,2,63,208
333	,2363.TW,矽統,22.45,5.4,65083,22.45,18.44,65083,22833.8,-2.2,-4.6,-296.4,2717,75,168
334	,2364.TW,倫飛,81.9,-0.97,179,81.9,89.66,179,190.3,20.6,34.2,5.7,8,2,20
335	,2365.TW,昆盈,11.5,2.68,1075,11.5,11.42,1075,729.5,2.4,39.9,-0.1,11,22,25
336	,2367.TW,燿華,16.7,0.3,3716,16.7,17.47,3716,3196.6,-15.1,2.5,-9.3,3,67,112
337	,2368.TW,金像電,179,4.07,20880,179,173.93,20880,15011.2,12.6,20.4,11.7,72,49,880
338	,2369.TW,菱生,18.2,-1.62,1997,18.2,18.03,1997,6819.4,0.1,5,-2.6,8,38,69
339	,2371.TW,大同,51.6,-0.77,23797,51.6,51.05,23797,23829.1,2.5,18.2,4.9,5,234,1207
340	,2373.TW,震旦行,75.7,0,25,75.7,76.08,25,48.4,9.9,44.1,6,26,24,179
341	,2374.TW,佳能,19.95,1.01,1618,19.95,19.81,1618,1035.8,-4.5,21.4,-6.4,38,29,57
342	,2375.TW,凱美,60.4,-1.31,236,60.4,62.56,236,292.6,0.5,12.9,0.3,10,11,66
343	,2376.TW,技嘉,328.5,-1.5,42676,328.5,313.78,42676,30498.8,11.2,12.7,4.6,1477,64,2088
344	,2377.TW,微星,194.5,1.3,7014,194.5,191.75,7014,6755,21,13.9,6.4,322,84,1643
345	,2379.TW,瑞昱,407,-0.73,2071,407,413.68,2071,3527.3,15.1,43.1,7.2,79,51,2087
346	,2380.TW,虹光,10,-0.5,403,10,10.43,403,518.2,-33.6,18.7,-24.6,-0,22,21
347	,2382.TW,廣達,233.5,-2.71,108629,233.5,225.5,108629,125969.9,15.7,6.6,3,10,386,9019
348	,2383.TW,台光電,443.5,0.68,10985,443.5,366.32,10985,13836.9,20,27.5,17.6,35,33,1476
349	,2385.TW,群光,99.2,-2.75,4724,99.2,102.41,4724,4972.6,22.1,17.9,8,78,76,754
350	,2387.TW,精元,42.65,-0.12,483,42.65,42.1,483,705.2,0.6,12.8,3.9,17,20,83
351	,2388.TW,威盛,109.5,3.79,33154,109.5,127.97,33154,19155,-2.2,28.6,-9.5,9,50,546
352	,2390.TW,云辰,12.5,-1.57,437,12.5,12.68,437,504.4,-13.1,25.4,0.6,-262,19,24
353	,2392.TW,正崴,39.45,-1.37,773,39.45,40.06,773,2401.5,-6.8,11.6,1,9,51,202
354	,2393.TW,億光,48.65,0.21,840,48.65,49.89,840,2317.4,9.9,31,12.1,36,44,216
355	,2395.TW,研華,352,-0.71,1693,352,388.3,1693,1446.2,29,41.2,20.1,499,86,3016
356	,2397.TW,友通,68.6,-1.72,107,68.6,77.59,107,170.5,7.2,20.7,3.3,13,11,79
357	,2399.TW,映泰,23.45,0.21,3269,23.45,25.79,3269,4960.6,4.6,9.7,0.2,131,18,42
358	,2401.TW,凌陽,30.05,0.67,3927,30.05,29.57,3927,9444.6,-1.7,47.4,-7.4,52,59,178
359	,2402.TW,毅嘉,37.5,2.74,20749,37.5,35.47,20749,21899.5,8.2,15.7,5.1,21,31,115
360	,2404.TW,漢唐,225.5,-2.8,2106,225.5,216.1,2106,1811.3,46.8,11.6,9.5,208,19,430
361	,2405.TW,輔信,14.9,-1.97,4373,14.9,15.09,4373,19069,1.4,38.6,-3.3,17,34,51
362	,2406.TW,國碩,16.45,0.92,494,16.45,16.67,494,737.1,-10.3,-1.9,-22.4,-5,35,58
363	,2408.TW,南亞科,68.9,0.58,3511,68.9,70.26,3511,9971.5,-1.8,-11.2,-45.3,345,310,2135
364	,2409.TW,友達,20.4,0,35253,20.4,19.88,35253,86946,-24.2,-9.5,-21.8,-12,770,1571
365	,2412.TW,中華電,117,0.43,6129,117,116.05,6129,5788.6,9.9,38,22.5,181,776,9076
366	,2413.TW,環科,30.1,-3.53,1380,30.1,32.82,1380,1264.7,7.7,12.5,1.6,11,13,38
367	,2414.TW,精技,34.05,1.34,173,34.05,34.22,173,190.2,10.5,8.5,2.1,27,16,55
368	,2415.TW,錩新,32.35,2.54,4375,32.35,28.37,4375,1357.8,-0.3,20.6,6,2,9,29
369	,2417.TW,圓剛,20.7,-0.24,145,20.7,20.89,145,175,-5.7,52.2,-10.6,17,16,33
370	,2419.TW,仲琦,38.5,-1.28,5003,38.5,44.95,5003,12694.3,5.6,16.5,2.1,12,32,124
371	,2420.TW,新巨,46.7,0,185,46.7,46.23,185,1168.1,14,39.8,23.7,48,15,71
372	,2421.TW,建準,137,0.74,2853,137,125.76,2853,13301.3,31.4,28.1,12.4,33,25,344
373	,2423.TW,固緯,34.55,-0.86,357,34.55,34.76,357,353.5,12.9,49.2,15.3,141,15,50
374	,2424.TW,隴華,43.4,1.4,10,43.4,48.35,10,104.7,-52.5,-52.2,-139.5,-19,5,8
375	,2425.TW,承啟,53,-1.49,4884,53,50.91,4884,10150.6,5.8,9.1,2.7,56,10,51
376	,2426.TW,鼎元,18.8,0,553,18.8,19.15,553,3086.8,-5.8,9.4,-6.8,-12,30,57
377	,2427.TW,三商電,26.25,-1.32,1826,26.25,27.44,1826,4703.5,12.5,39.4,11.5,13,18,48
378	,2428.TW,興勤,173,-0.29,739,173,163.8,739,2059.1,13.4,37.9,22.9,106,13,222
379	,2429.TW,銘旺科,18.35,-1.61,36,18.35,19.54,36,35.7,-31.3,5.3,-14.3,-3,4,5
380	,2430.TW,燦坤,40.05,-0.5,370,40.05,42.47,370,311.8,4.5,13.9,1.4,11,12,47
381	,2431.TW,聯昌,10.85,-1.81,174,10.85,11.42,174,265.2,-5.3,-0.4,-20.2,20,11,12
382	,2433.TW,互盛電,50.8,0,23,50.8,50.7,23,22.6,8,33.9,14.7,31,14,73
383	,2434.TW,統懋,30.55,0.33,6,30.55,30.56,6,25.3,-10.9,20.6,-112.6,-14,4,5
384	,2436.TW,偉詮電,58.6,0.51,939,58.6,60.15,939,2554.3,8.6,27.2,1.2,12,18,104
385	,2438.TW,翔耀,24,-2.04,253,24,23.33,253,423.4,-4.4,1.5,-45.8,-29,6,14
386	,2439.TW,美律,88.4,-0.56,533,88.4,91.48,533,641.4,12.4,12.4,2.2,20,22,192
387	,2440.TW,太空梭,12.45,-3.49,847,12.45,11.97,847,1707.1,-6.5,2.6,-2.8,1,14,17
388	,2441.TW,超豐,62.5,0.32,1701,62.5,60.58,1701,1670.4,11.5,23.1,18.9,5197,57,356
389	,2442.TW,新美齊,18.4,0.27,2308,18.4,17.69,2308,1359.9,-6.3,22,-94.7,26,25,47
390	,2443.TW,昶虹,3.19,-1.54,65,3.19,3.39,65,117.3,40.1,40.4,-667,67,15,5
391	,2444.TW,兆勁,13.7,3.4,865,13.7,13.38,865,842.5,1.6,11.4,3.2,14,10,14
392	,2449.TW,京元電子,64.5,-1.23,11517,64.5,62.86,11517,17486.5,12.9,32.7,21.1,17,122,789
393	,2450.TW,神腦,36.45,0.69,558,36.45,35.48,558,223.8,11.2,11.4,1.3,92,26,94
394	,2451.TW,創見,71.4,0,154,71.4,71.94,154,415.6,9,23.7,12,1702,43,306
395	,2453.TW,凌群,59,-1.83,1497,59,62.17,1497,6260.2,16,26.8,8.2,40,10,59
396	,2454.TW,聯發科,701,1.59,3248,701,685.95,3248,8004.5,17.3,48,15,366,160,11214
397	,2455.TW,全新,132.5,3.11,6235,132.5,122.88,6235,7527.6,14.5,39.7,16,102,18,245
398	,2457.TW,飛宏,63.5,-1.4,4408,63.5,69.72,4408,8525.1,2.8,23.8,2.9,3,38,214
399	,2458.TW,義隆,121,2.54,4912,121,112.17,4912,5498.7,21.9,44.1,18.5,195,30,368
400	,2459.TW,敦吉,59.1,1.9,158,59.1,57.34,158,97.9,8.8,17.3,6.4,26,11,62
401	,2460.TW,建通,24.25,2.97,1396,24.25,23.73,1396,1413.5,-6.7,3.9,-9.6,-3,17,41
402	,2461.TW,光群雷,25.35,-3.24,3457,25.35,25.15,3457,4368.4,1.7,22,2.6,8,16,40
403	,2462.TW,良得電,37.9,0,3048,37.9,32.38,3048,5102.8,6.8,14.8,4.7,7,14,43
404	,2464.TW,盟立,41.4,-2.36,2715,41.4,38.58,2715,3869.8,1.2,16,1.8,28,20,81
405	,2465.TW,麗臺,38.9,9.89,2267,38.9,37.46,2267,674.3,-56.2,11.2,-6.9,-7,6,23
406	,2466.TW,冠西電,37.3,0,10,37.3,37.38,10,13.8,-5.5,29,-7.4,3,17,63
407	,2467.TW,志聖,46.85,-0.32,111,46.85,47.49,111,497.6,16.8,37.4,12.9,32,16,73
408	,2468.TW,華經,29,-1.53,651,29,30.42,651,2358.7,4.2,12.4,2.6,28,7,20
409	,2471.TW,資通,51.4,-1.15,418,51.4,54.24,418,3790.6,3.9,33.1,2,397,5,24
410	,2472.TW,立隆電,59.5,-0.67,282,59.5,60.25,282,412.6,9.1,27.3,14.4,46,16,98
411	,2474.TW,可成,177,0.57,2349,177,175.88,2349,1636.2,11.2,33,19.8,25,68,1204
412	,2476.TW,鉅祥,49.95,-0.1,877,49.95,49.59,877,858.3,16.5,27,11.1,77,19,95
413	,2477.TW,美隆電,20.35,-0.25,58,20.35,20.71,58,60.5,-4.3,1.6,-24,11,16,32
414	,2478.TW,大毅,44.8,-0.67,69,44.8,45.66,69,106,8.2,20.6,9.9,64,14,65
415	,2480.TW,敦陽科,118.5,0.85,261,118.5,119.47,261,2007,27.4,23,11.2,532,11,126
416	,2481.TW,強茂,70.3,-2.09,4097,70.3,73.63,4097,3924.6,4.3,24.7,5.3,16,38,269
417	,2482.TW,連宇,54.7,-1.08,1390,54.7,60.7,1390,1654.8,29.1,43,23.6,119,8,43
418	,2483.TW,百容,24.45,0.2,34,24.45,25.12,34,171.9,6,14,-1.7,14,11,27
419	,2484.TW,希華,34.65,-0.86,311,34.65,34.65,311,562.3,7.1,27.4,12,73,16,55
420	,2485.TW,兆赫,19.75,-0.75,811,19.75,20.03,811,2736,-6.1,4.7,-9.3,-39,32,63
421	,2486.TW,一詮,44.45,-0.78,1623,44.45,46.26,1623,4371.1,1.3,13.3,1.9,3,22,99
422	,2488.TW,漢平,36.95,1.65,1045,36.95,34.57,1045,580.9,15.4,27.6,16.1,86,8,30
423	,2489.TW,瑞軒,12.8,0,1823,12.8,13.71,1823,3391.8,-7.3,8.5,-1.6,-330,78,102
424	,2491.TW,吉祥全,14.85,-1,38,14.85,15.09,38,88.8,19.1,8.6,-102.6,-24,8,12
425	,2492.TW,華新科,90.3,-1.1,1646,90.3,94.05,1646,2236.9,3,13.4,1.4,14,49,439
426	,2493.TW,揚博,61,-0.49,160,61,62.26,160,234.7,27.4,38.6,26.7,17568,11,70
427	,2495.TW,普安,21.15,-1.4,1587,21.15,23.74,1587,2490.2,1.8,47.9,8,15,27,58
428	,2496.TW,卓越,52,0.39,9,52,52.02,9,22.4,0,0,0,47,2,10
429	,2497.TW,怡利電,69.7,-1.55,770,69.7,70.02,770,707.5,9.6,24.4,6,18,12,86
430	,2498.TW,宏達電,51.9,0,4350,51.9,55.61,4350,8815.9,-14.3,41.4,-96.9,-23,83,431
431	,2501.TW,國建,15.65,0,570,15.65,15.72,570,727.8,2.3,24.8,10.2,5,116,181
432	,2504.TW,國產,27.65,0.73,1391,27.65,26.6,1391,2996.5,14,22.7,18.2,58,118,326
433	,2505.TW,國揚,19.1,0.53,219,19.1,18.34,219,543.5,3.6,34.5,5.5,19,38,73
434	,2506.TW,太設,9.16,-0.76,207,9.16,9.16,207,157.1,-3.6,45.5,-7.4,10,39,35
435	,2509.TW,全坤建,15.05,0,30,15.05,15.18,30,48.4,-4.6,29.2,-37.3,-1,22,34
436	,2511.TW,太子,11.35,0,280,11.35,11.38,280,542.6,2,27.6,6.3,6,162,184
437	,2514.TW,龍邦,16.5,-0.3,41,16.5,16.53,41,68.1,-0.4,9.6,4.6,5,39,65
438	,2515.TW,中工,10.1,-0.98,4590,10.1,10.27,4590,6379.9,1.8,6.9,3.8,6,153,155
439	,2516.TW,新建,6.34,9.88,7045,6.34,5.3,7045,1229.1,17.4,3.7,1.9,-32,23,14
440	,2520.TW,冠德,32.15,-0.92,2136,32.15,29.53,2136,3467.5,11.1,27.9,17.8,14,55,178
441	,2524.TW,京城,30.65,0.16,15,30.65,31.27,15,22.6,1.4,53.4,31.5,6,37,113
442	,2527.TW,宏璟,23.85,1.06,136,23.85,23.69,136,77.3,-4.1,27.8,-56.1,5,27,64
443	,2528.TW,皇普,27.6,-0.9,160,27.6,26.45,160,231.9,25.8,27.3,22.8,15,38,76
444	,2530.TW,華建,25.8,-2.46,1327,25.8,24.16,1327,1476.8,-0.4,44,-438.2,27,84,134
445	,2534.TW,宏盛,20,-0.5,333,20,20.21,333,791.8,9.2,43.3,31.9,12,47,95
446	,2535.TW,達欣工,32.6,0.93,745,32.6,32.29,745,463.4,16.1,13.3,10.2,24,34,110
447	,2536.TW,宏普,25.7,-0.77,486,25.7,26.08,486,712.3,-2.9,56.5,29.5,1,33,86
448	,2537.TW,聯上發,7.23,0.28,260,7.23,7.14,260,534.2,-3.3,31.3,2.5,2,30,22
449	,2538.TW,基泰,12.4,0,191,12.4,12.15,191,380.6,102.7,89.7,-44.3,2,44,54
450	,2539.TW,櫻花建,48.05,-1.74,752,48.05,46.94,752,665.7,0,0,0,138,74,354
451	,2540.TW,愛山林,94.5,0.75,293,94.5,88.07,293,361.8,7.8,34,17.4,3,29,274
452	,2542.TW,興富發,42.65,-0.7,1571,42.65,42.38,1571,1888,13.9,33.9,24.8,6,171,731
453	,2543.TW,皇昌,9.73,0.52,79,9.73,9.86,79,148.4,3.5,5.5,2.4,5,24,23
454	,2545.TW,皇翔,40,0.38,112,40,39.63,112,165.4,-2,38.6,12.6,5,33,131
455	,2546.TW,根基,70.5,-0.42,52,70.5,68.7,52,271.2,15.6,8.6,6.1,315,12,85
456	,2547.TW,日勝生,9.04,-0.33,281,9.04,9.05,281,460.3,-2.9,53.3,14.6,1,88,80
457	,2548.TW,華固,90.9,-0.98,751,90.9,90.48,751,530.9,6.2,37.8,28.6,35,28,252
458	,2596.TW,綠意,21.4,0,68,21.4,21.27,68,94.7,-2.1,3.8,-23.2,32,10,21
459	,2597.TW,潤弘,103,-0.48,13,103,101.35,13,74,12.3,11.7,6.8,40,18,190
460	,2601.TW,益航,8.6,-0.69,1014,8.6,8.62,1014,1452.5,1.7,67.7,12.3,1,82,71
461	,2603.TW,長榮,106.5,-0.93,16093,106.5,102.28,16093,28704.7,4.3,22.1,16.7,124,212,2254
462	,2605.TW,新興,18.8,-0.79,1993,18.8,18.89,1993,3059.3,3.4,29,22.7,4,59,110
463	,2606.TW,裕民,42.8,-1.72,2461,42.8,42.92,2461,4308.2,5.8,16.3,10.6,9,85,362
464	,2607.TW,榮運,28.8,0.88,4409,28.8,27.71,4409,2405.8,6.2,25.9,15.4,34,107,307
465	,2608.TW,嘉里大榮,36.15,0.14,130,36.15,36.28,130,207.7,9.6,19,13.6,14,47,169
466	,2609.TW,陽明,46,-0.86,12555,46,46.37,12555,23626.8,4,9.3,4,98,349,1606
467	,2610.TW,華航,25.5,2.41,112141,25.5,25.36,112141,57574.5,7.6,12.2,4.3,2,602,1533
468	,2611.TW,志信,13.35,3.09,1210,13.35,12.74,1210,472.5,0.9,10.4,-17.7,-18,19,25
469	,2612.TW,中航,40.6,-1.34,567,40.6,39.66,567,2281,6,23.5,10.6,7,20,80
470	,2613.TW,中櫃,20.5,0,29,20.5,20.57,29,94.8,-4,10.2,3.6,3,15,30
471	,2614.TW,東森,16.8,-2.04,1873,16.8,17.09,1873,1418.8,3.5,28.4,-3.3,-5,48,80
472	,2615.TW,萬海,50.1,0,2577,50.1,50.57,2577,5035.1,-3.8,-7.1,-12.5,84,281,1406
473	,2616.TW,山隆,31.6,0,327,31.6,31.12,327,339.4,2.7,8.3,0.7,10,14,43
