編號,地震時間,經度,緯度,深度,規模,震央位置
小區域,2017/11/2 上午 02:41:00,121.47,21.97,11,4.1,臺東縣政府南偏東方  93.2  公里 (位於臺灣東南部海域)
106043   ,2017/10/26 上午 01:23:00,120.71,23.23,7.6,4.3,嘉義市政府東南方  38.6  公里 (位於高雄市那瑪夏區)
106042   ,2017/9/20 下午 10:29:00,121.78,23.32,29,5.8,花蓮縣政府南偏東方  76.5  公里 (位於臺灣東部海域)
106039   ,2017/9/6 上午 02:55:00,121.66,22.13,6.1,4.1,臺東縣政府東南方  87.1  公里 (位於臺灣東部海域)
106038   ,2017/9/5 下午 06:08:00,121.53,24.03,18.6,4.2,花蓮縣政府西偏北方  10.3  公里 (位於花蓮縣秀林鄉)
106037   ,2017/9/4 下午 01:42:00,120.84,22.42,6.9,4.2,屏東縣政府東南方  46.2  公里 (位於臺東縣達仁鄉)
106036   ,2017/8/11 上午 09:58:00,121.4,23.19,21,4.9,臺東縣政府北偏東方  54.3  公里 (位於臺東縣近海)
106030   ,2017/6/22 上午 07:36:00,120.06,23.19,14.6,4.1,臺南市政府北偏西方  24.9  公里 (位於臺南市近海)
106029   ,2017/6/21 下午 03:25:00,121.92,24.66,62.8,5,宜蘭縣政府東偏南方  18.2  公里 (位於宜蘭縣近海)
小區域,2017/6/17 下午 02:20:00,121.67,24.1,9.5,4.1,花蓮縣政府北偏東方  12.6  公里 (位於花蓮縣近海)
106025   ,2017/5/25 下午 01:48:00,120.52,23.42,11.8,4.7,嘉義市政府東南方  9.2  公里 (位於嘉義縣中埔鄉)
106024   ,2017/5/24 下午 09:10:00,120.51,23.42,12.4,5.1,嘉義市政府東南方  9.0  公里 (位於嘉義縣中埔鄉)
106023   ,2017/5/24 下午 05:49:00,120.52,23.42,12.9,4.2,嘉義市政府東南方  9.6  公里 (位於嘉義縣中埔鄉)
106022   ,2017/5/16 上午 07:12:00,121.43,23.28,24.9,5.7,臺東縣政府北偏東方  64.9  公里 (位於臺東縣近海)
106021   ,2017/5/5 下午 01:07:00,121.52,23.43,34.3,4.6,花蓮縣政府南方  63.2  公里 (位於花蓮縣近海)
106020   ,2017/4/30 上午 09:57:00,121.65,21.41,122.3,6,臺東縣政府南偏東方  157.9  公里 (位於臺灣東南部海域)
106019   ,2017/4/17 上午 02:34:00,120.68,23.28,6.8,4.5,嘉義市政府東南方  31.7  公里 (位於高雄市那瑪夏區)
106018   ,2017/3/30 上午 12:34:00,121.02,22.52,16.8,4.5,臺東縣政府南偏西方  29.6  公里 (位於臺東縣近海)
106017   ,2017/3/25 下午 11:02:00,120.63,23.27,10.3,4.1,嘉義市政府東南方  30.1  公里 (位於嘉義縣大埔鄉)
106014   ,2017/3/8 上午 06:10:00,122.1,24.31,59.9,5.2,宜蘭縣政府東南方  58.0  公里 (位於臺灣東部海域)
106008   ,2017/2/11 上午 01:12:00,120.14,22.87,16.2,5.7,臺南市政府南偏西方  14.6  公里 (位於高雄市近海)
106005   ,2017/1/12 上午 01:31:00,120.68,23.11,9,4.5,嘉義市政府南偏東方  47.1  公里 (位於高雄市六龜區)
106001   ,2017/1/3 上午 03:23:00,120.97,23.25,4.6,4.1,臺東縣政府北偏西方  58.0  公里 (位於臺東縣海端鄉)
105112   ,2016/12/30 上午 08:30:00,122.08,24.81,75.2,5.2,宜蘭縣政府東偏北方  33.1  公里 (位於臺灣東部海域)
105109   ,2016/12/15 下午 10:14:00,121.27,22.85,11.4,5.2,臺東縣政府東北方  15.8  公里 (位於臺東縣近海)
105106   ,2016/11/30 下午 08:04:00,121.27,22.83,11.8,5.1,臺東縣政府東偏北方  14.7  公里 (位於臺東縣近海)
105100   ,2016/11/7 上午 04:53:00,120.82,23.22,7.5,4,嘉義市政府東南方  47.7  公里 (位於高雄市桃源區)
105098   ,2016/10/25 下午 12:45:00,121.35,22.65,23.7,5.3,臺東縣政府東偏南方  23.3  公里 (位於臺灣東部海域)
105097   ,2016/10/6 下午 11:52:00,121.34,22.63,23.7,6.2,臺東縣政府東偏南方  24.4  公里 (位於臺灣東部海域)
105096   ,2016/10/4 下午 02:29:00,121.46,22.13,29,4,臺東縣政府南偏東方  76.4  公里 (位於臺灣東部海域)
105093   ,2016/9/24 下午 05:36:00,121.51,24.11,19.2,4.2,花蓮縣政府西北方  16.6  公里 (位於花蓮縣秀林鄉)
105091   ,2016/9/1 上午 12:28:00,121.97,24.46,18,4.9,宜蘭縣政府東南方  36.8  公里 (位於臺灣東部海域)
105090   ,2016/8/25 下午 03:13:00,121.7,24.27,28.7,4.4,花蓮縣政府北偏東方  31.8  公里 (位於花蓮縣秀林鄉)
105088   ,2016/7/27 下午 12:02:00,121.75,24.27,7.7,4.8,花蓮縣政府北偏東方  33.4  公里 (位於花蓮縣近海)
105086   ,2016/7/16 上午 10:35:00,121.75,24.36,19.6,4.2,宜蘭縣政府南方  40.8  公里 (位於宜蘭縣南澳鄉)
105080   ,2016/6/20 上午 08:39:00,121.53,23.16,39.4,5.1,臺東縣政府東北方  59.8  公里 (位於臺灣東部海域)
105078   ,2016/6/14 下午 05:40:00,121.4,23.74,21.1,4.2,花蓮縣政府西南方  36.0  公里 (位於花蓮縣萬榮鄉)
小區域,2016/6/5 上午 05:41:00,121.67,24.14,10.7,4.1,花蓮縣政府北偏東方  16.9  公里 (位於花蓮縣近海)
小區域,2016/6/5 上午 05:25:00,121.67,24.14,10.5,4,花蓮縣政府北偏東方  17.2  公里 (位於花蓮縣近海)
105077   ,2016/5/31 下午 01:23:00,122.68,25.49,256.9,6.9,基隆市政府東偏北方  102.5  公里
105072   ,2016/5/22 上午 04:51:00,120.61,22.9,18.1,5.3,屏東縣政府北偏東方  27.3  公里 (位於屏東縣林邊鄉)
105071   ,2016/5/21 下午 01:47:00,121.71,24.23,10.9,4.5,花蓮縣政府北偏東方  27.7  公里
105070   ,2016/5/18 上午 08:22:00,121.57,23.22,45.8,5.2,臺東縣政府東北方  67.0  公里
小區域,2016/5/17 下午 06:55:00,121.77,24.18,13.1,4,花蓮縣政府東北方  25.8  公里 (位於臺灣東部海域)
小區域,2016/5/14 上午 11:35:00,121.75,24.18,12.8,4.4,花蓮縣政府東北方  25.1  公里
小區域,2016/5/14 上午 11:34:00,121.74,24.17,13,4.2,花蓮縣政府東北方  23.8  公里
105068   ,2016/5/14 上午 11:32:00,121.77,24.17,11.6,5,花蓮縣政府東北方  25.3  公里
105067   ,2016/5/14 上午 11:12:00,121.76,24.17,12.4,4.7,花蓮縣政府東北方  25.0  公里
105066   ,2016/5/13 下午 09:02:00,121.75,24.17,12.5,4,花蓮縣政府東北方  24.3  公里 (位於花蓮縣近海)
105064   ,2016/5/13 下午 04:24:00,121.98,24.68,9.8,5.2,宜蘭縣政府東偏南方  23.0  公里
105063   ,2016/5/12 下午 12:29:00,122.02,24.69,12,5.7,宜蘭縣政府東方  26.1  公里
105060   ,2016/5/12 上午 11:17:00,121.98,24.69,8.9,6.1,宜蘭縣政府東方  22.4  公里
105057   ,2016/5/8 上午 10:46:00,121.02,23.99,19.1,4.9,南投縣政府東偏北方  35.4  公里
105055   ,2016/5/7 下午 10:51:00,121.76,24.22,11.8,4.8,花蓮縣政府北偏東方  29.0  公里
小區域,2016/5/3 下午 09:26:00,120.77,23.14,7.2,4,嘉義市政府東南方  50.1  公里 (位於高雄市桃源區)
105052   ,2016/5/3 上午 07:55:00,121.71,24.21,11.4,4.1,花蓮縣政府北偏東方  25.8  公里 (位於花蓮縣近海)
105051   ,2016/5/3 上午 04:53:00,121.71,24.23,12,4.3,花蓮縣政府北偏東方  27.6  公里
105050   ,2016/5/2 下午 10:29:00,121.72,24.21,11.8,4.9,花蓮縣政府北偏東方  26.3  公里
105048   ,2016/5/2 上午 10:27:00,121.02,23.19,3.4,4.2,臺東縣政府北偏西方  49.7  公里 (位於臺東縣海端鄉)
