標題：人口重要指標
更新日期：2022.08.22
下載日期：2023.08.02
資料來源：國家發展委員會，中華民國人口推估（2022年至2070年）
來源網址：https://pop-proj.ndc.gov.tw/dataSearch.aspx?uid=3109&pid=59

推估情境,項目,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,
中推估,65歲以上人口所占比率(%) **,4.29,4.41,4.55,4.68,4.85,5.06,5.28,5.54,5.74,5.96,6.22,6.53,6.81,7.10,7.38,7.64,7.86,8.06,8.26,8.44,8.62,8.81,9.02,9.24,9.48,9.74,10.00,10.21,10.43,10.63,10.74,10.89,11.15,11.53,11.99,12.51,13.20,13.86,14.56,15.28,16.07,16.85,17.56,18.40,19.20,20.00,20.80,21.70,22.50,23.30,24.10,24.90,25.60,26.30,27.00,27.70,28.30,28.90,29.50,30.10,30.60,31.50,32.10,32.90,33.60,34.40,35.10,35.90,36.50,37.00,37.50,37.70,38.10,38.50,38.80,39.30,39.70,40.10,40.50,40.90,41.40,41.90,42.40,42.60,42.90,43.30,43.50,43.70,43.70,43.70,43.60,

註：
<p>&bull;2023年（含）以後為推估值。</p>

<p>&bull;* : 於1960年（含）以前資料不包含福建省金門縣及連江縣。<br />
&bull;* : 自1969年起，總人口數包括所有職業軍人、徵召服役軍人及監所人犯。<br />
&bull;** : 於1971年（含）以前資料不包含福建省金門縣及連江縣。</p>
