符合條件商品
資料日期：2023年 12月  1日
策略,	台股輸出
"序號","代碼","商品","成交","漲幅%","總量","總市值(億)","產業",細產業
360	,"2402.TW","毅嘉","36.45","1.67","24348","112.1","上市電子零組件",軟板,印刷電路板相關,手機按鍵,手機零組件
361	,"2404.TW","漢唐","248","1.43","1343","472.6","上市其他電子",電子其他,無塵室工程
362	,"2405.TW","輔信","17.95","2.87","31956","61.6","上市電腦及週邊設備",福祉輔助設備,輔助與彌補用醫材,準系統,電腦系統業
363	,"2406.TW","國碩","17.05","0.89","1045","59.8","上市光電",太陽能,太陽能導電漿
364	,"2408.TW","南亞科","73.7","-1.73","20486","2283.3","上市半導體",DRAM,IC生產,IC製造
365	,"2409.TW","友達","16.45","0.61","28013","1266.5","上市光電",面板業,中小尺吋面板,TFT-LCD,OLED,觸控面板,太陽能,太陽能電池模組
366	,"2412.TW","中華電","120","0.42","4521","9308.9","上市通信網路",電信/數據服務,通訊服務,行動通訊
367	,"2413.TW","環科","29.3","-1.84","5024","37.3","上市電子零組件",電源供應器,變壓器,被動元件,電感,電子零件元件,電子製造服務,電腦系統業
368	,"2414.TW","精技","33.65","0.45","122","54.4","上市電子通路",電腦通路商,電子通路
369	,"2415.TW","錩新","30.15","2.55","249","27.1","上市電子零組件",證券,金融業,其他電子零件,電子零件元件,音響設備及零件
370	,"2417.TW","圓剛","38.95","0.91","2480","61.6","上市電腦及週邊設備",視訊轉換相關,消費性電子產品,視訊會議產品
371	,"2419.TW","仲琦","30.85","-1.28","926","99.1","上市通信網路",通訊設備,接取設備,數據機,系統整合,軟體業
372	,"2420.TW","新巨","48.1","0.21","171","73.4","上市電子零組件",電源供應器,電子零件元件,程式開關
373	,"2421.TW","建準","99","0.61","3837","248.4","上市電子零組件",散熱風扇馬達,電子零件元件,散熱模組
374	,"2423.TW","固緯","37.15","1.36","580","53.9","上市其他電子",設備儀器廠商,量測儀器
375	,"2424.TW","隴華","30.9","0","24","5.6","上市通信網路",通訊服務
376	,"2425.TW","承啟","45.4","-0.77","1478","43.8","上市電腦及週邊設備",伺服器,主機板,週邊產品,繪圖卡,電腦系統業
377	,"2426.TW","鼎元","19.1","0.53","355","57.4","上市光電",LED,LED晶粒,分離式元件,二極體,電晶體,光通訊,光纖主動元件
378	,"2427.TW","三商電","27.25","0","1063","53.6","上市資訊服務",傳產其他,金融機具,系統整合,軟體業
379	,"2428.TW","興勤","154.5","0.65","710","197.9","上市電子零組件",被動元件,熱敏電阻,壓敏電阻
380	,"2429.TW","銘旺科","18.3","-1.08","36","4.9","上市光電",面板零組件,玻璃基板加工
381	,"2430.TW","燦坤","39.05","-0.38","51","45.6","上市電子通路",3C通路商,電子通路,電器銷售,家電
382	,"2431.TW","聯昌","11.35","0.89","132","12.6","上市電子零組件",電源供應器,電子零件元件
383	,"2433.TW","互盛電","52","0","13","75.1","上市其他電子",電子其他,事務機器
384	,"2434.TW","統懋","34.7","0","26","5.9","上市半導體",分離式元件,二極體,電晶體
385	,"2436.TW","偉詮電","78.1","-1.14","4832","139","上市半導體",馬達IC,類比IC,IC設計,消費性IC,PC週邊IC,MCU,LED驅動IC,IC零組件通路商,電子通路
386	,"2438.TW","翔耀","22.9","-0.87","88","13.8","上市光電",面板零組件,玻璃基板加工,小家電,家電,配電工程,電力設備
387	,"2439.TW","美律","117.5","3.07","8302","257.8","上市通信網路",受話器,電聲產品,耳機,微型揚聲器,麥克風
388	,"2440.TW","太空梭","13.15","4.78","561","18.3","上市電子零組件",電子零件元件,連接線材,電線電纜,裸銅線
389	,"2441.TW","超豐","60.4","0.17","633","343.6","上市半導體",IC封裝,IC測試,IC封裝測試
390	,"2442.TW","新美齊","23.3","-1.27","1092","59.7","上市建材營造",營建,地產
391	,"2443.TW","昶虹","2.62","-4.73","310","3.8","上市其他",醫療器材通路,流通業,貿易,大宗物資,運輸事業,物流業
392	,"2444.TW","兆勁","14.2","0.71","574","14.4","上市通信網路",無線網路設備系統(WLAN),通訊設備,週邊產品,記憶卡,硬碟相關
393	,"2449.TW","京元電子","82.8","0","6517","1012.4","上市半導體",IC封裝,IC測試,IC封裝測試
394	,"2450.TW","神腦","39.2","0.26","74","101.2","上市通信網路",手機產品零售通路,3C通路商,電子通路
395	,"2451.TW","創見","82.3","-1.2","390","353.1","上市半導體",電子零件元件,DRAM模組,Flash模組
396	,"2453.TW","凌群","54.9","-0.18","483","54.9","上市資訊服務",系統整合,軟體業,雲端科技,Internet技術與基礎設施
397	,"2454.TW","聯發科","947","0.21","3529","15147.3","上市半導體",DSL晶片組,無線網路IC,衛星導航晶片組,數據機晶片組,CPU,IC設計,網路通訊IC,消費性IC,光碟機驅動IC,LCD控制IC,影音IC,數位電視IC,手機晶片相關,手機零組件
398	,"2455.TW","全新","170","-0.87","2424","314.3","上市通信網路",砷化鎵相關,光通訊元件磊晶,IC製造
399	,"2457.TW","飛宏","62.5","0.48","6166","269.5","上市電子零組件",電源供應器,電子零件元件
400	,"2458.TW","義隆","151","-0.33","1442","458.9","上市半導體",IC設計,消費性IC,PC週邊IC,MCU,生物辨識IC,觸控IC
401	,"2459.TW","敦吉","58.2","-0.51","66","61.5","上市其他電子",變壓器,檢測驗證服務,連接器,電子零件元件,其他電子元件代理商,電子通路,設備儀器廠商
402	,"2460.TW","建通","28","1.08","7954","47.4","上市電子零組件",其他電子零件,電子零件元件
403	,"2461.TW","光群雷","24.1","-2.43","953","40.3","上市其他電子",面板零組件,光學膜,電子其他
404	,"2462.TW","良得電","40","0.25","2486","58.5","上市電子零組件",電子零件元件,連接線材
405	,"2464.TW","盟立","36.65","0.14","288","71.7","上市其他電子",半導體設備,軟體業,軟體通路／代理,設備儀器廠商,面板設備,自動化設備,機器人,機械
406	,"2465.TW","麗臺","62.1","-2.36","3425","36.6","上市電腦及週邊設備",繪圖卡,電腦系統業
407	,"2466.TW","冠西電","37.8","0.27","17","64.8","上市光電",LED,LED照明產品,光通訊,光纖被動元件
408	,"2467.TW","志聖","61","7.77","2816","95.6","上市電子零組件",PCB其他設備,半導體設備,設備儀器廠商,面板設備
409	,"2468.TW","華經","31","1.64","967","21.7","上市資訊服務",系統整合,軟體業
410	,"2471.TW","資通","55.3","0","226","26.1","上市資訊服務",系統整合,軟體業,企業資源規劃,客戶關係管理,應用軟體
411	,"2472.TW","立隆電","70.1","1.01","2949","115.5","上市電子零組件",被動元件,鋁質電解電容,被動元件上游
412	,"2474.TW","可成","195.5","0.51","3663","1330.1","上市其他電子",電子零件元件,鎂鋁合金外殼
413	,"2476.TW","鉅祥","66.7","5.71","12366","127.2","上市電子零組件",模具沖壓,電子零件元件
414	,"2477.TW","美隆電","20.2","0.5","79","32","上市其他電子",電子零件元件,音響設備及零件
415	,"2478.TW","大毅","49.95","-1.67","706","72.3","上市電子零組件",被動元件,晶片電阻
416	,"2480.TW","敦陽科","126","0","271","134","上市資訊服務",資訊安全,系統整合,軟體業,雲端科技,Internet技術與基礎設施
417	,"2481.TW","強茂","70.2","-0.71","10338","268.2","上市半導體",分離式元件,二極體,電晶體
418	,"2482.TW","連宇","42.15","-1.52","1866","32.8","上市其他電子",週邊產品,IC讀卡機
419	,"2483.TW","百容","24.05","-0.21","72","26.2","上市電子零組件",連接器,其他電子零件,電子零件元件,導線架,程式開關,封測服務與材料,電氣零件與設備,電力設備
420	,"2484.TW","希華","34.05","-0.73","482","54.3","上市電子零組件",被動元件,石英元件,濾波器,振盪器
421	,"2485.TW","兆赫","23.7","0.42","2676","75.3","上市通信網路",通訊設備,低雜訊降頻器,視訊轉換相關,消費性電子產品
422	,"2486.TW","一詮","45.75","-1.19","3827","101.5","上市光電",面板零組件,背光模組,LED,LED散熱基板,導線架,封測服務與材料
423	,"2488.TW","漢平","40.9","1.24","1046","32.7","上市其他電子",電子零件元件,音響設備及零件
424	,"2489.TW","瑞軒","12.3","2.93","2122","91","上市光電",顯示器,LCD顯示器,週邊產品,家電,液晶電視
425	,"2491.TW","吉祥全","13.95","0.36","28","11.4","上市光電",LED,LED照明產品
426	,"2492.TW","華新科","140","2.56","17545","680.1","上市電子零組件",被動元件,MLCC,晶片電阻,電容
427	,"2493.TW","揚博","77","0.92","174","88.1","上市電子零組件",PCB其他設備,半導體材料通路商,電子通路,設備儀器廠商,面板設備
428	,"2495.TW","普安","21.75","1.16","819","59.5","上市電腦及週邊設備",週邊產品,磁碟陣列控制器
429	,"2496.TW","卓越","57.6","0.7","95","11","上市其他",服務業,教育事業
430	,"2497.TW","怡利電","66.7","1.52","426","81.9","上市汽車",車用電子,胎壓監測系統,車載影音系統,行車紀錄器,抬頭顯示器(HUD)
431	,"2498.TW","宏達電","49.45","-1.49","4483","411.1","上市通信網路",手機,手機製造,軟體業,虛擬實境,智慧型手機,消費性電子產品,穿戴式裝置
432	,"2501.TW","國建","16","-0.31","993","185.5","上市建材營造",營建,地產
433	,"2504.TW","國產","27.25","0.55","1711","321.6","上市建材營造",水泥,預拌混凝土,資產股
434	,"2505.TW","國揚","18.75","-0.27","73","71.3","上市建材營造",營建,地產
435	,"2506.TW","太設","9.24","0.54","475","35.8","上市建材營造",營建,地產,物業投資發展
436	,"2509.TW","全坤建","16.95","0.59","216","38.1","上市建材營造",營建,地產
437	,"2511.TW","太子","11.1","0.45","384","180.2","上市建材營造",營建,住宅建設,地產,營造工程,旅館、餐飲,飯店
438	,"2514.TW","龍邦","15.95","0.31","452","63","上市其他",營建,住宅建設,地產,營造工程
439	,"2515.TW","中工","11.2","0.45","6268","171.5","上市建材營造",配電工程,電力設備,住宅建設,基礎建設,營造工程
440	,"2516.TW","新建","12.35","0.82","2472","27.9","上市建材營造",住宅建設,基礎建設,營造工程
441	,"2520.TW","冠德","37.85","0.93","1414","209.8","上市建材營造",營建,住宅建設,地產,營造工程
442	,"2524.TW","京城","31.75","1.44","34","117.3","上市建材營造",營建,地產
443	,"2527.TW","宏璟","26.35","1.35","462","71.2","上市建材營造",營建,地產
444	,"2528.TW","皇普","31.35","3.13","559","86.9","上市建材營造",營建,地產
445	,"2530.TW","華建","31.05","-0.48","1509","161.7","上市建材營造",營建,地產
446	,"2534.TW","宏盛","20.45","0.49","371","97","上市建材營造",營建,地產
447	,"2535.TW","達欣工","42.7","0.23","174","115.6","上市建材營造",住宅建設,基礎建設,營造工程
448	,"2536.TW","宏普","29.25","1.39","176","97.3","上市建材營造",營建,地產
449	,"2537.TW","聯上發","8.8","0.34","535","26.4","上市建材營造",營建,地產
450	,"2538.TW","基泰","16.8","0.3","1875","73.7","上市建材營造",營建,地產
451	,"2539.TW","櫻花建","49.1","0.2","226","420.8","上市建材營造",營建,地產
452	,"2540.TW","愛山林","84.6","-1.63","708","331.3","上市建材營造",房屋仲介,住宅建設,地產,營造工程
453	,"2542.TW","興富發","40.8","-0.37","2177","768.7","上市建材營造",營建,地產
454	,"2543.TW","皇昌","36.9","5.73","2478","87.6","上市建材營造",基礎建設,營造工程
455	,"2545.TW","皇翔","39.8","0.13","114","130.4","上市建材營造",營建,地產
456	,"2546.TW","根基","74.6","0","26","90","上市建材營造",住宅建設,基礎建設,營造工程
457	,"2547.TW","日勝生","9.67","0.1","420","85.1","上市建材營造",營建,地產
458	,"2548.TW","華固","94.8","0.32","432","262.4","上市建材營造",營建,地產
459	,"2596.TW","綠意","22.75","0.22","26","22.8","上櫃建材營造",營建,地產
460	,"2597.TW","潤弘","113","2.73","183","209","上市建材營造",建材,住宅建設,基礎建設,營造工程
461	,"2601.TW","益航","8.69","2.84","7325","71.7","上市貿易百貨",流通業,百貨公司,散裝航運,運輸事業
462	,"2603.TW","長榮","114.5","2.23","15087","2423.3","上市航運業",貨櫃航運,運輸事業
463	,"2605.TW","新興","23.85","5.53","37855","139.6","上市航運業",散裝航運,油輪,運輸事業
464	,"2606.TW","裕民","51.8","7.14","48492","437.7","上市航運業",散裝航運,油輪,運輸事業
465	,"2607.TW","榮運","29.7","1.37","2678","316.9","上市航運業",加油站,其他公用事業,資產股,倉儲/貨櫃場,陸運,客運,運輸事業,物流業
466	,"2608.TW","嘉里大榮","38","0.4","183","177.5","上市航運業",倉儲/貨櫃場,陸運,運輸事業,物流業
467	,"2609.TW","陽明","43.3","3.1","33779","1512.1","上市航運業",貨櫃航運,運輸事業
468	,"2610.TW","華航","21.15","0.24","12938","1274","上市航運業",空運,運輸事業
469	,"2611.TW","志信","14.7","3.89","3224","27.8","上市航運業",流通業,貿易,陸運,運輸事業,營建,地產,旅館、餐飲,飯店
470	,"2612.TW","中航","51.7","9.88","10454","102.1","上市航運業",倉儲/貨櫃場,散裝航運,陸運,運輸事業,物流業
471	,"2613.TW","中櫃","21.4","2.39","434","31.8","上市航運業",倉儲/貨櫃場,運輸事業
472	,"2614.TW","東森","23.75","2.15","1069","71.3","上市其他",傳產其他,寵物用品,傳播事業,平面媒體,倉儲/貨櫃場,運輸事業
473	,"2615.TW","萬海","48.65","4.18","14190","1365.2","上市航運業",貨櫃航運,運輸事業
474	,"2616.TW","山隆","30.65","0","487","42.1","上市油電燃氣",加油站,其他公用事業,陸運,運輸事業
475	,"2617.TW","台航","32.15","2.72","9062","134.2","上市航運業",散裝航運,水上運輸,運輸事業
476	,"2618.TW","長榮航","31.1","-0.64","44644","1679.2","上市航運業",空運,運輸事業
477	,"2630.TW","亞航","36.8","1.1","2582","76.7","上市航運業",飛機零件/製造,機械
478	,"2633.TW","台灣高鐵","29.95","-0.5","1325","787.2","上市航運業",鐵路運輸服務,運輸事業
479	,"2634.TW","漢翔","52.3","0.97","6429","492.6","上市航運業",航天軍工,飛機零件/製造,機械
480	,"2636.TW","台驊投控","78.1","1.43","973","112","上市航運業",運輸事業,物流業
481	,"2637.TW","慧洋-KY","50.3","3.71","15033","375.4","上市航運業",散裝航運,運輸事業
482	,"2640.TW","大車隊","110","0","71","65.2","上櫃數位雲端",汽車服務相關,車輛整車,客運,運輸事業
483	,"2641.TW","正德","20.1","9.84","35503","54.3","上櫃航運業",散裝航運,運輸事業
484	,"2642.TW","宅配通","40.3","0.62","120","38.5","上市航運業",陸運,運輸事業,物流業
485	,"2643.TW","捷迅","68.1","0.44","71","23.8","上櫃航運業",陸運,運輸事業,物流業
486	,"2645.TW","長榮航太","108.5","-0.46","892","406.4","上市航運業",航天軍工,飛機零件/製造,機械
487	,"2701.TW","萬企","12.85","-0.39","116","57.8","上市觀光餐旅",地產,物業投資發展,休閒娛樂,電影院／劇院
488	,"2702.TW","華園","21.25","0.47","153","33.3","上市觀光餐旅",旅館、餐飲,飯店
489	,"2704.TW","國賓","48.25","-1.13","155","177","上市觀光餐旅",旅館、餐飲,飯店
490	,"2705.TW","六福","17.8","-0.28","396","33.2","上市觀光餐旅",資產股,旅館、餐飲,飯店,休閒娛樂,主題樂園
491	,"2706.TW","第一店","15.65","-0.32","248","78.2","上市觀光餐旅",地產,物業投資發展,旅館、餐飲,飯店
492	,"2707.TW","晶華","219","-0.23","313","279","上市觀光餐旅",旅館、餐飲,飯店
493	,"2712.TW","遠雄來","35.1","0.29","11","36.9","上市觀光餐旅",旅館、餐飲,飯店
494	,"2718.TW","晶悅","50.2","0.2","11","44","上櫃建材營造",營建,地產
495	,"2719.TW","燦星旅","65.1","-1.51","48","44.8","上櫃觀光餐旅",休閒娛樂,旅遊
496	,"2722.TW","夏都","60.9","0","390","72","上市觀光餐旅",旅館、餐飲,飯店
497	,"2723.TW","美食-KY","101.5","1.5","372","182.7","上市觀光餐旅",食品加工,穀類烘焙製品,旅館、餐飲,餐飲,休閒食品零售
498	,"2724.TW","富驛-KY","13.65","3.41","6","8.1","上櫃觀光餐旅",旅館、餐飲,飯店
499	,"2726.TW","雅茗-KY","30.05","-0.17","11","7.5","上櫃觀光餐旅",旅館、餐飲,餐飲,休閒食品零售
500	,"2727.TW","王品","243.5","-0.2","653","205.6","上市觀光餐旅",旅館、餐飲,餐飲
501	,"2729.TW","瓦城","233.5","0.86","143","83.9","上櫃觀光餐旅",旅館、餐飲,餐飲
502	,"2731.TW","雄獅","140.5","1.08","659","131","上市觀光餐旅",休閒娛樂,旅遊
503	,"2732.TW","六角","117","-0.85","168","54.4","上櫃觀光餐旅",旅館、餐飲,餐飲,休閒食品零售
504	,"2734.TW","易飛網","45.45","-1.41","255","19.2","上櫃觀光餐旅",Internet應用與服務,電商平台,休閒娛樂,旅遊
505	,"2736.TW","富野","29.35","-0.51","404","14.7","上櫃觀光餐旅",旅館、餐飲,飯店
506	,"2739.TW","寒舍","59","0.85","1329","54","上市觀光餐旅",旅館、餐飲,飯店
507	,"2740.TW","天蔥","40","2.43","1","9.3","上櫃觀光餐旅",旅館、餐飲,餐飲
508	,"2743.TW","山富","134","-0.37","570","48.3","上櫃觀光餐旅",休閒娛樂,旅遊
509	,"2745.TW","五福","83.6","-0.83","188","28.3","上櫃觀光餐旅",休閒娛樂,旅遊
510	,"2748.TW","雲品","80","-1.11","1550","83","上市觀光餐旅",旅館、餐飲,飯店
511	,"2752.TW","豆府","277","-0.36","8","72.8","上櫃觀光餐旅",旅館、餐飲,餐飲
512	,"2753.TW","八方雲集","172","-0.58","246","114.1","上市觀光餐旅",旅館、餐飲,餐飲
513	,"2754.TW","亞洲藏壽司","121.5","1.67","86","56.8","上櫃觀光餐旅",旅館、餐飲,餐飲
514	,"2755.TW","揚秦","118.5","-0.84","21","35.7","上櫃觀光餐旅",旅館、餐飲,餐飲
515	,"2756.TW","聯發國際","89.7","-0.99","18","22","上櫃觀光餐旅",旅館、餐飲,餐飲,休閒食品零售
516	,"2801.TW","彰銀","17.85","0.28","7019","1938.2","上市金融保險",銀行,金融業
517	,"2809.TW","京城銀","39.85","1.14","1805","442.8","上市金融保險",銀行,金融業
518	,"2812.TW","台中銀","15.75","-0.32","3462","823.1","上市金融保險",銀行,金融業
519	,"2816.TW","旺旺保","38.15","-0.91","1668","85.3","上市金融保險",產險,金融業
520	,"2820.TW","華票","14.7","0.68","343","197.4","上市金融保險",票券,金融其他,金融業
521	,"2832.TW","台產","25","0.2","294","90.5","上市金融保險",產險,金融業
522	,"2834.TW","臺企銀","13.55","0.37","6875","1114.1","上市金融保險",銀行,金融業
523	,"2836.TW","高雄銀","12.15","0.83","325","150","上市金融保險",銀行,金融業
524	,"2838.TW","聯邦銀","14","0.72","2122","529","上市金融保險",銀行,金融業
525	,"2845.TW","遠東銀","12.05","0.84","3049","490.4","上市金融保險",銀行,金融業
526	,"2849.TW","安泰銀","14.75","-0.34","39","221.7","上市金融保險",銀行,金融業
527	,"2850.TW","新產","69","1.17","264","218","上市金融保險",產險,金融業
528	,"2851.TW","中再保","23.1","-0.22","678","184.9","上市金融保險",壽險,產險,再保險,金融業
529	,"2852.TW","第一保","18.25","0","227","55","上市金融保險",產險,再保險,金融業
530	,"2855.TW","統一證","18.95","-0.26","929","275.9","上市金融保險",證券,金融業
531	,"2867.TW","三商壽","5.09","-0.59","5659","259.6","上市金融保險",壽險,金融業
532	,"2880.TW","華南金","21.95","-1.35","7248","2994.6","上市金融保險",銀行,產險,證券,投信,金控,金融其他,資產管理,金融業
533	,"2881.TW","富邦金","63.8","-0.93","10578","8303.5","上市金融保險",銀行,壽險,產險,證券,投信,投資信託,金控,金融其他,資產管理,金融業
534	,"2882.TW","國泰金","46.05","-0.97","13881","6755.2","上市金融保險",銀行,壽險,產險,證券,投信,投資信託,金控,金融其他,資產管理,金融業
535	,"2883.TW","開發金","12.55","-1.18","122622","2113.3","上市金融保險",銀行,證券,金控,金融業
536	,"2884.TW","玉山金","25.25","-1.37","21487","3955.2","上市金融保險",銀行,保險經紀,證券,金控,金融其他,金融業
537	,"2885.TW","元大金","26.1","0.38","12201","3311.8","上市金融保險",銀行,證金公司,證券,投信,投資信託,金控,金融其他,資產管理,金融業
538	,"2886.TW","兆豐金","38.65","-2.15","21895","5430.8","上市金融保險",銀行,產險,票券,證券,投信,金控,金融其他,資產管理,金融業
539	,"2887.TW","台新金","18","-1.64","12927","2245.9","上市金融保險",銀行,壽險,保險經紀,證券,投信,金控,金融其他,資產管理,金融業
540	,"2888.TW","新光金","8.94","-0.78","35144","1384.6","上市金融保險",銀行,壽險,保險經紀,投信,金控,金融其他,金融業
541	,"2889.TW","國票金","11.6","0.43","4304","399.9","上市金融保險",票券,證券,金控,金融其他,金融業
542	,"2890.TW","永豐金","18.95","0.26","10198","2345.3","上市金融保險",銀行,證券,投信,金控,租賃,金融其他,資產管理,金融業
543	,"2891.TW","中信金","26.95","-1.46","25332","5277.7","上市金融保險",銀行,壽險,保險經紀,證券,投信,投資信託,金控,資產管理,金融業,保全,服務業
544	,"2892.TW","第一金","27.35","-1.26","16140","3725.1","上市金融保險",銀行,壽險,證券,投信,金控,金融其他,資產管理,金融業
545	,"2897.TW","王道銀行","9.71","-0.1","3143","265.5","上市金融保險",銀行,金融業
546	,"2901.TW","欣欣","26.2","0","5","19.1","上市貿易百貨",流通業,百貨公司,資產股,地產,物業投資發展,休閒娛樂,電影院／劇院
547	,"2903.TW","遠百","24.15","0.21","1556","342.2","上市貿易百貨",流通業,百貨公司,量販店、大賣場
548	,"2904.TW","匯僑","19.05","0.26","63","14.8","上市其他",石油及天然氣,油品儲運/分銷,電力,太陽能發電
549	,"2905.TW","三商","13.65","-0.36","604","153.2","上市貿易百貨",控股公司
550	,"2906.TW","高林","17.85","0","373","37.3","上市貿易百貨",醫療器材通路,流通業,貿易,家居相關用品通路,家居用品,成衣,成衣銷售/零售
551	,"2908.TW","特力","20.6","0","235","105","上市貿易百貨",流通業,貿易,量販店、大賣場,家居相關用品通路
552	,"2910.TW","統領","27.65","-1.25","3","57.7","上市貿易百貨",流通業,百貨公司,營建,地產
553	,"2911.TW","麗嬰房","6.41","-0.77","236","11.8","上市貿易百貨",傳產其他,玩具,嬰童用品
554	,"2912.TW","統一超","268.5","-0.37","622","2791.4","上市貿易百貨",便利商店,流通業,百貨公司
555	,"2913.TW","農林","21.4","1.42","2075","151.2","上市貿易百貨",流通業,貿易,農林漁牧,農產品種植,食品加工,茶葉與咖啡相關,資產股,建築設計、營繕裝璜,營造工程
556	,"2915.TW","潤泰全","62.7","-0.48","2296","692.4","上市貿易百貨",流通業,貿易,成衣,成衣銷售/零售,織布,紡織中游,控股公司
557	,"2916.TW","滿心","47.1","0.21","37","25.7","上櫃居家生活",成衣,成衣銷售/零售
558	,"2923.TW","鼎固-KY","25.85","-0.19","11","449.9","上市建材營造",營建,地產,物業投資發展
559	,"2924.TW","宏太-KY","24.25","0.41","5","8","上櫃居家生活",傳產其他,玩具,嬰童用品
560	,"2926.TW","誠品生活","66","0.46","28","31.3","上櫃文化創意",流通業,百貨公司,書店,文化創意產業,旅館、餐飲,餐飲
561	,"2929.TW","淘帝-KY","12.4","0.81","285","13.6","上市貿易百貨",傳產其他,嬰童用品
562	,"2937.TW","集雅社","30.9","0","0","12.2","上櫃居家生活",電器銷售,家電
563	,"2939.TW","凱羿-KY","29.45","-0.34","30","13.4","上市貿易百貨",流通業,貿易,家居相關用品通路
564	,"2945.TW","三商家購","45.45","0","24","30.7","上市貿易百貨",流通業,連鎖超市
565	,"2947.TW","振宇五金","80","0","15","15.4","上櫃居家生活",流通業,量販店、大賣場,家居相關用品通路
566	,"3002.TW","歐格","13.65","-0.36","267","13.9","上市電腦及週邊設備",電源供應器,被動元件,電子零件元件,遊戲產業,商用遊戲機
567	,"3003.TW","健和興","72.8","-0.27","196","113.3","上市電子零組件",連接器,其他電子零件,電子零件元件
568	,"3004.TW","豐達科","92.7","1.64","374","49.4","上市鋼鐵",航天軍工,螺絲、螺帽,線材、盤元
569	,"3005.TW","神基","105","3.45","12189","638.7","上市電腦及週邊設備",車用鑄件,車用金屬成型,機殼,電子零件元件,筆記型電腦,工業電腦,電腦系統業
570	,"3006.TW","晶豪科","92.5","-2.12","6184","264.7","上市半導體",DRAM記憶體IC,FLASH記憶體IC,類比IC,IC設計
571	,"3008.TW","大立光","2365","-1.05","626","3156.5","上市光電",數位相機,光學鏡片/頭
572	,"3010.TW","華立","101","0.5","285","238.4","上市電子通路",其他電子元件代理商,半導體材料通路商,電子通路
573	,"3011.TW","今皓","38","2.01","968","42.8","上市電子零組件",電子零件元件,連接線材
574	,"3013.TW","晟銘電","47.7","3.92","30705","74.4","上市電腦及週邊設備",機殼,電子零件元件
575	,"3014.TW","聯陽","159.5","1.92","1847","256.9","上市半導體",IO控制IC,IC設計,消費性IC,PC週邊IC,影音IC,高速傳輸介面IC,安全監控IC,數位電視IC,觸控IC
576	,"3015.TW","全漢","52.2","0","325","97.8","上市電子零組件",電源供應器,電子零件元件
577	,"3016.TW","嘉晶","64.4","-1.38","1173","185.8","上市半導體",磊晶,矽晶圓,IC製造
578	,"3017.TW","奇鋐","302.5","-1.79","5542","1159.5","上市電腦及週邊設備",機殼,散熱風扇馬達,電子零件元件,散熱模組
579	,"3018.TW","隆銘綠能","13","1.17","23","5.1","上市其他電子",電子其他,無塵室工程,營建,地產
580	,"3019.TW","亞光","66.4","-0.75","733","185.4","上市光電",傳產其他,光學,影像感測元件,數位相機,數位相機組裝,光學鏡片/頭
581	,"3021.TW","鴻名","21.2","0.95","116","20.3","上市電子零組件",電子零件元件,系統整合,軟體業,連接線材
582	,"3022.TW","威強電","87.1","0.46","2582","153.8","上市電腦及週邊設備",工業電腦,電腦系統業
583	,"3023.TW","信邦","291.5","1.75","961","698.3","上市電子零組件",連接器,電子零件元件,連接線材
584	,"3024.TW","憶聲","18","1.98","1189","49.9","上市光電",資產股,車用電子,車載影音系統,電器銷售,家電
585	,"3026.TW","禾伸堂","100.5","0.5","248","166.7","上市電子零組件",被動元件,MLCC,鋁質電解電容,IC零組件通路商,其他電子元件代理商,電子通路
586	,"3027.TW","盛達","41.4","-0.48","1955","41.4","上市通信網路",電力,太陽能發電,電源供應器,電子零件元件,通訊設備,接取設備,數據機,區域網路,太陽能,太陽能系統運用
587	,"3028.TW","增你強","33.45","0","275","75.8","上市電子通路",IC零組件通路商,其他電子元件代理商,電子通路
588	,"3029.TW","零壹","66.2","0.61","614","101.7","上市資訊服務",資訊安全,系統整合,軟體業,軟體通路／代理,雲端科技,Internet技術與基礎設施
589	,"3030.TW","德律","62.4","-0.16","343","147.4","上市其他電子",PCB其他設備,設備儀器廠商
590	,"3031.TW","佰鴻","18.4","0","186","31.9","上市光電",LED,LED封裝,紅外線傳輸模組,LED照明產品
591	,"3032.TW","偉訓","73.1","1.39","5477","75.5","上市電子零組件",電源供應器,機殼,電子零件元件,週邊產品
592	,"3033.TW","威健","28.5","-0.52","1473","122","上市電子通路",IC零組件通路商,電子通路
593	,"3034.TW","聯詠","510","-0.2","2238","3103.4","上市半導體",IC設計,LCD驅動IC,LCD控制IC,影音IC,CMOS晶片,安全監控IC,手機面板驅動IC,數位電視IC,觸控IC,手機零組件
594	,"3035.TW","智原","391","1.43","23630","971.8","上市半導體",IC設計,設計IP,ASIC
595	,"3036.TW","文曄","118","-0.42","3272","1206.9","上市電子通路",IC零組件通路商,電子通路
596	,"3037.TW","欣興","176","-0.56","12617","2684.2","上市電子零組件",軟板,印刷電路板,印刷電路板相關,IC基板,封測服務與材料
597	,"3038.TW","全台","31.4","2.11","1684","49.4","上市光電",面板業,中小尺吋面板,LCM,觸控面板
598	,"3040.TW","遠見","30.55","0.49","60","19.2","上市其他",消費性電子產品,地產,物業投資發展
599	,"3041.TW","揚智","31.6","0","51549","61.3","上市半導體",STB IC,IC設計,消費性IC,影音IC
600	,"3042.TW","晶技","101.5","-1.46","1616","314.4","上市電子零組件",被動元件,石英元件,振盪器
601	,"3043.TW","科風","39.6","-3.06","2327","15.4","上市其他電子",UPS,電子零件元件
602	,"3044.TW","健鼎","193.5","0.26","2624","1017","上市電子零組件",印刷電路板,印刷電路板相關
