符合條件商品
資料日期：2023年 12月  1日
策略,	台股輸出
"序號","代碼","商品","成交","漲幅%","總量","總市值(億)","產業",細產業
51	,"1336.TW","台翰","21.45","0.47","37","16.9","上櫃電子零組件",機殼,電子零件元件
52	,"1337.TW","再生-KY","7.15","0","200","19.2","上市塑膠",塑膠加工,石化業,EVA
53	,"1338.TW","廣華-KY","43.7","2.58","1186","36.6","上市汽車",汽車內裝
54	,"1339.TW","昭輝","72.8","9.97","2731","54","上市汽車",塑膠加工,石化業,汽車保險桿,汽機車零組件
55	,"1340.TW","勝悅-KY","11.5","0","66","17.6","上市塑膠",傳產其他,鞋材
56	,"1341.TW","富林-KY","63.1","0","7","32.6","上市塑膠",塑膠皮布,石化業
57	,"1342.TW","八貫","119","0.85","190","84.8","上市其他",塑膠皮布,石化業
58	,"1402.TW","遠東新","30.95","1.14","11420","1656.7","上市紡織纖維",家居用品,寢具,聚酯絲,聚酯加工絲,聚酯棉,紡織用聚酯粒,瓶用聚酯粒,化纖原料,PTA,成衣,成衣製造,成衣銷售/零售,織布,棉紡,紡織中游,控股公司,資產股
59	,"1409.TW","新纖","15.65","-0.63","1418","253.3","上市紡織纖維",塑膠加工,石化業,聚酯絲,紡織用聚酯粒,化纖原料,資產股
60	,"1410.TW","南染","37.65","0.67","43","23.7","上市紡織纖維",染整,紡織中游,資產股,IC封裝測試
61	,"1413.TW","宏洲","8.22","-0.48","55","8.4","上市紡織纖維",聚酯絲,紡織用聚酯粒,化纖原料
62	,"1414.TW","東和","17.6","0","54","38.7","上市紡織纖維",混紡紗,紡織中游,資產股,地產,物業投資發展
63	,"1416.TW","廣豐","11.35","-0.44","300","21","上市其他",資產股,軟體業,應用軟體,營建,地產
64	,"1417.TW","嘉裕","12.05","0","129","22.9","上市紡織纖維",成衣,成衣製造,成衣銷售/零售
65	,"1418.TW","東華","21","-0.71","222","9.8","上市紡織纖維",亞克力棉,化纖原料
66	,"1419.TW","新紡","45.2","0.44","134","135.6","上市紡織纖維",成衣,成衣銷售/零售,織布,紡織中游,資產股,地產,物業投資發展
67	,"1423.TW","利華","30.95","0","88","30.8","上市紡織纖維",毛紡,紡織中游,資產股
68	,"1432.TW","大魯閣","18.25","-1.88","455","16.4","上市運動休閒",流通業,百貨公司,休閒娛樂
69	,"1434.TW","福懋","25.55","0.79","1388","430.4","上市紡織纖維",加油站,其他公用事業,尼龍製品,尼龍塔夫塔,工業用布,紡織中游
70	,"1435.TW","中福","39.65","3.26","8","55.4","上市其他",地產,物業投資發展
71	,"1436.TW","華友聯","76.6","-0.26","59","74.5","上市建材營造",營建,地產
72	,"1437.TW","勤益控","30.1","0.17","101","61.2","上市其他",成衣,成衣銷售/零售,資產股,地產,物業投資發展
73	,"1438.TW","三地開發","30.3","-0.16","14","21.6","上市建材營造",營建,地產
74	,"1439.TW","雋揚","22.8","-0.65","2","21","上市建材營造",營建,地產
75	,"1440.TW","南紡","16.75","1.82","2961","277.5","上市紡織纖維",聚酯絲,聚酯棉,紡織用聚酯粒,瓶用聚酯粒,化纖原料,棉紡,紡織中游,資產股
76	,"1441.TW","大東","13.35","0","36","8.4","上市紡織纖維",織布,棉紡,紡織中游,資產股
77	,"1442.TW","名軒","38.3","-2.05","1254","140.3","上市建材營造",營建,地產
78	,"1443.TW","立益物流","28.85","0.87","70","39","上市其他",流通業,貿易,運輸事業,物流業,營建,地產
79	,"1444.TW","力麗","10.65","0","883","106","上市紡織纖維",聚酯加工絲,紡織用聚酯粒,瓶用聚酯粒,化纖原料
80	,"1445.TW","大宇","21.5","3.37","2062","28.1","上市紡織纖維",聚酯加工絲,化纖原料,織布,紡織中游
81	,"1446.TW","宏和","38.25","-0.91","70","52.7","上市紡織纖維",織布,紡織中游,資產股,營建,地產
82	,"1447.TW","力鵬","7.99","-0.75","792","73.1","上市紡織纖維",尼龍粒,尼龍絲,化纖原料,織布,紡織中游
83	,"1449.TW","佳和","22.95","-1.92","4196","19.5","上市紡織纖維",織布,紡織中游
84	,"1451.TW","年興","18.85","0.27","158","38.9","上市紡織纖維",成衣,成衣製造,織布,紡織中游
85	,"1452.TW","宏益","16.65","-0.3","43","22.1","上市紡織纖維",聚酯加工絲,化纖原料
86	,"1453.TW","大將","14.85","0.68","160","15.8","上市建材營造",營建,地產
87	,"1454.TW","台富","16.8","-0.59","26","21.8","上市紡織纖維",聚酯加工絲,化纖原料,織布,紡織中游
88	,"1455.TW","集盛","11.1","0.91","415","59","上市紡織纖維",尼龍粒,尼龍加工絲,尼龍絲,化纖原料
89	,"1456.TW","怡華","17.1","0","69","16","上市建材營造",營建,地產
90	,"1457.TW","宜進","19.1","0","1226","57.6","上市紡織纖維",聚酯絲,聚酯加工絲,化纖原料,織布,紡織中游,資產股
91	,"1459.TW","聯發","10.1","0","110","36.2","上市紡織纖維",聚酯加工絲,化纖原料
92	,"1460.TW","宏遠","7.47","-0.13","432","51.9","上市紡織纖維",織布,紡織中游
93	,"1463.TW","強盛","17.4","-5.95","984","30.1","上市紡織纖維",染整,紡織中游
94	,"1464.TW","得力","13.3","-0.37","86","54.2","上市紡織纖維",織布,紡織中游
95	,"1465.TW","偉全","13.8","1.1","135","14.3","上市紡織纖維",織布,紡織中游
96	,"1466.TW","聚隆","11.4","0","46","12.7","上市紡織纖維",聚酯加工絲,尼龍加工絲,尼龍絲,化纖原料
97	,"1467.TW","南緯","11.25","0","516","18.9","上市紡織纖維",成衣,成衣製造,織布,紡織中游,資產股
98	,"1468.TW","昶和","14.3","0.7","43","22.9","上市紡織纖維",織布,工業用布,紡織中游
99	,"1470.TW","大統新創","19.2","0","2","16.5","上市紡織纖維",染整,織布,紡織中游
100	,"1471.TW","首利","18.5","1.09","1985","26.9","上市電子零組件",電源供應器,機殼,電子零件元件
101	,"1472.TW","三洋實業","62","9.93","339","15.5","上市建材營造",基礎建設,營造工程
102	,"1473.TW","台南","29.95","-0.33","296","43.8","上市紡織纖維",成衣,成衣製造
103	,"1474.TW","弘裕","11.75","0.43","58","15.3","上市紡織纖維",織布,工業用布,紡織中游
104	,"1475.TW","業旺","49.9","0.3","32","13","上市紡織纖維",染料，顏料,化學工業
105	,"1476.TW","儒鴻","595","0.34","425","1632.5","上市紡織纖維",成衣,成衣製造,織布,紡織中游
106	,"1477.TW","聚陽","358","0","1153","865.8","上市紡織纖維",成衣,成衣製造
