date,amount,close,high,low,open,volume
20170202,153703780,184.50,188.50,184.00,188.00,21047
20170203,30387652,184.50,186.00,183.50,186.00,8079
20170206,29702832,184.50,185.50,184.00,184.50,8330
20170207,23981988,184.50,185.00,183.00,183.50,8712
20170208,45607272,183.50,184.50,183.00,183.50,8245
20170209,23419788,184.00,185.50,183.50,184.00,6639
20170210,49257380,185.50,185.50,184.00,184.50,9566
20170213,26155819,187.50,188.00,186.50,186.50,10124
20170214,46716940,187.50,190.00,187.50,189.00,11413
20170215,39928274,189.00,189.50,186.50,187.00,12905
20170216,28371087,189.00,190.50,188.00,190.00,9035
20170217,20407880,189.50,190.50,189.00,190.00,7390
20170218,3517102,189.50,190.50,189.50,190.00,1771
20170220,13280401,190.00,190.50,189.50,190.00,6466
20170221,31987532,190.00,190.00,188.50,190.00,8646
20170222,26144905,188.50,191.00,188.50,190.50,6199
20170223,36095621,188.50,189.50,187.00,188.00,7885
20170224,26177021,189.00,190.50,187.50,187.50,7417
20170301,48263273,186.00,188.50,186.00,188.50,12019
20170302,40879671,186.00,188.50,185.00,188.00,12567
20170303,28213610,184.00,185.00,184.00,184.50,11570
20170306,12633329,183.50,184.50,183.50,184.00,5831
20170307,22816387,185.50,185.50,184.00,184.00,5824
20170308,38657077,187.00,188.00,185.50,186.00,9614
20170309,31119469,184.50,186.00,184.00,185.50,12394
20170310,24886297,183.50,184.50,183.00,184.00,10065
20170313,11025355,186.50,186.50,185.00,185.00,4141
20170314,24373221,186.00,188.00,186.00,188.00,7773
20170315,14147168,186.50,187.00,185.50,185.50,4952
20170316,32452964,190.00,190.00,188.00,188.00,15071
20170317,38698064,191.50,191.50,189.00,189.50,10731
20170320,16531620,191.50,191.50,189.50,191.50,6790
20170321,33662234,195.00,195.00,191.50,192.00,13192
20170322,27766559,193.50,193.50,191.50,192.50,9435
20170323,18831295,193.50,193.50,192.00,192.00,6052
20170324,17722202,192.50,193.00,192.00,192.00,5225
20170327,29867998,193.00,194.50,192.00,194.50,6963
20170328,39522318,194.50,195.00,192.50,195.00,9380
20170329,33839400,191.50,194.50,191.00,194.50,11340
20170330,30716971,191.50,193.00,190.50,192.50,9900
20170331,33996900,189.00,192.00,189.00,191.00,10225
20170405,45116406,193.00,193.00,189.50,189.50,14224
20170406,17417037,191.50,193.00,191.00,193.00,6309
20170407,19066095,191.00,192.00,188.50,192.00,7861
20170410,17388929,190.00,191.50,189.50,191.00,6803
20170411,9788922,191.00,191.00,189.00,190.00,3348
20170412,17418048,191.00,191.50,190.00,190.50,5778
20170413,14796174,191.50,192.00,189.50,189.50,5705
20170414,31317585,189.00,189.50,188.00,189.50,12442
20170417,17111522,187.50,189.00,187.50,189.00,7470
20170418,28732770,188.00,189.50,187.50,188.00,6174
20170419,31171199,186.50,187.50,186.50,187.50,9427
20170420,32697485,187.00,188.00,186.50,186.50,6751
20170421,19034232,190.00,190.00,187.50,187.50,6966
20170424,29572675,190.00,191.50,188.50,191.00,5428
20170425,31952889,192.00,192.00,189.50,190.50,10510
20170426,31119972,191.00,192.00,190.50,192.00,10342
20170427,35812934,193.00,193.00,190.50,192.00,9859
20170428,38381021,194.50,194.50,193.00,193.50,11671
20170502,45851963,196.50,199.00,195.50,198.50,15718
20170503,27240962,198.00,198.50,197.00,198.00,9259
20170504,22194084,198.00,199.00,197.00,198.50,8787
20170505,17618358,197.50,198.50,197.00,197.00,6078
20170508,39591009,202.50,202.50,199.00,199.00,15190
20170509,48285324,203.50,207.00,203.50,205.50,15467
20170510,31075759,205.50,206.00,204.00,204.00,11094
20170511,44286097,207.50,208.50,204.00,204.50,16478
20170512,25507045,206.00,207.00,205.00,205.00,7515
20170515,25922334,206.00,206.00,204.00,204.00,8141
20170516,36604672,204.50,205.00,203.50,205.00,11066
20170517,22606380,204.00,204.00,203.00,203.00,9323
20170518,22490217,203.50,204.00,201.50,202.50,6983
20170519,17163108,203.00,204.50,202.50,203.50,6014
20170522,17419705,205.00,205.00,203.00,203.50,5278
20170523,23028298,205.00,207.00,204.50,205.00,7003
20170524,18307715,205.50,206.00,205.00,205.00,5141
20170525,26088748,207.00,207.00,205.50,206.00,7406
20170526,32976727,207.00,207.00,205.00,205.00,8059
20170531,67935145,203.00,207.00,203.00,206.50,11757
20170601,29623649,207.00,207.00,204.50,205.00,6374
20170602,23265323,209.00,209.00,207.50,208.50,7429
20170603,1535230,209.00,209.00,208.00,209.00,1078
20170605,22545164,212.00,212.00,209.00,209.50,8931
20170606,15382025,210.50,211.50,210.50,210.50,5541
20170607,34729326,211.50,212.50,210.00,212.00,8034
20170608,21654488,213.00,213.00,211.50,212.00,7926
20170609,35190159,212.00,215.00,212.00,214.50,10657
20170612,63111746,207.50,210.00,207.00,207.00,22473
20170613,49983303,208.00,208.50,206.50,207.00,13236
20170614,39083899,207.00,209.50,206.00,208.50,11304
20170615,19486457,208.00,208.00,207.00,207.50,6497
20170616,32856536,211.50,212.00,207.00,207.50,9683
20170619,17489571,213.00,213.00,210.50,211.00,5658
20170620,28784100,216.50,218.00,214.50,215.00,9135
20170621,45384482,215.50,217.00,214.50,216.00,12233
20170622,26094649,218.00,218.00,216.50,217.00,7559
20170623,39686091,217.00,218.50,217.00,218.00,14539
20170626,60140797,215.00,215.00,212.00,212.00,20653
20170627,44504785,211.50,214.00,211.00,214.00,17122
20170628,52273921,208.50,210.00,208.00,209.50,15953
20170629,27049234,210.00,210.50,208.50,210.50,8431
20170630,31709978,208.50,208.50,206.50,206.50,9805
20170703,21066605,209.00,209.00,207.00,207.50,7037
20170704,21592272,207.00,208.50,207.00,208.00,8990
20170705,23463030,208.50,208.50,206.50,207.00,7278
20170706,15260726,207.50,208.50,207.00,208.00,4473
20170707,21567705,206.00,207.50,205.50,207.00,8234
20170710,13326526,206.00,207.00,206.00,206.50,5812
20170711,34593975,212.00,212.00,207.50,208.00,11217
20170712,26887728,210.50,212.50,210.50,211.00,9582
20170713,50136849,214.50,216.00,211.50,212.00,16903
20170714,22364167,213.00,214.50,212.00,213.00,9330
20170717,21400126,213.00,215.50,211.50,215.00,8537
20170718,18756453,214.00,214.00,212.00,213.00,8905
20170719,20661381,214.50,215.00,212.50,212.50,11699
20170720,20795770,215.50,215.50,214.00,215.00,8261
20170721,15422136,214.00,215.00,213.50,214.00,7558
20170724,20002702,214.50,214.50,213.00,213.50,6805
20170725,13853196,214.00,214.50,213.50,214.00,4836
